date,local,import,case
2020-05-01,1,8,9
2020-05-02,0,6,6
2020-05-03,3,10,13
2020-05-04,0,8,8
2020-05-05,0,3,3
2020-05-06,0,2,2
2020-05-07,1,3,4
2020-05-08,1,11,12
2020-05-09,17,1,18
2020-05-10,26,8,34
2020-05-11,29,6,35
2020-05-12,22,5,27
2020-05-13,22,4,26
2020-05-14,26,3,29
2020-05-15,22,5,27
2020-05-16,9,10,19
2020-05-17,6,7,13
2020-05-18,5,10,15
2020-05-19,9,4,13
2020-05-20,24,8,32
2020-05-21,10,2,12
2020-05-22,11,9,20
2020-05-23,19,4,23
2020-05-24,17,8,25
2020-05-25,13,3,16
2020-05-26,16,3,19
2020-05-27,37,3,40
2020-05-28,68,11,79
2020-05-29,55,3,58
2020-05-30,27,12,39
2020-05-31,15,12,27
2020-06-01,30,5,35
2020-06-02,36,2,38
2020-06-03,46,3,49
2020-06-04,33,6,39
2020-06-05,34,5,39
2020-06-06,43,8,51
2020-06-07,53,4,57
2020-06-08,32,5,37
2020-06-09,35,3,38
2020-06-10,43,7,50
2020-06-11,40,5,45
2020-06-12,43,13,56
2020-06-13,43,5,48
2020-06-14,31,3,34
2020-06-15,24,13,37
2020-06-16,21,13,34
2020-06-17,31,12,43
2020-06-18,51,8,59
2020-06-19,32,17,49
2020-06-20,36,31,67
2020-06-21,40,8,48
2020-06-22,11,6,17
2020-06-23,16,30,46
2020-06-24,30,21,51
2020-06-25,23,5,28
2020-06-26,26,13,39
2020-06-27,31,20,51
2020-06-28,40,22,62
2020-06-29,30,12,42
2020-06-30,22,20,42
2020-07-01,36,15,51
2020-07-02,44,10,54
2020-07-03,49,12,61
2020-07-04,36,27,63
2020-07-05,43,18,61
2020-07-06,24,24,48
2020-07-07,20,24,44
2020-07-08,30,32,62
2020-07-09,28,22,50
2020-07-10,23,22,45
2020-07-11,20,15,35
2020-07-12,21,23,44
2020-07-13,19,43,62
2020-07-14,14,19,33
2020-07-15,11,28,39
2020-07-16,14,47,61
2020-07-17,21,39,60
2020-07-18,11,28,39
2020-07-19,21,13,34
2020-07-20,4,22,26
2020-07-21,20,25,45
2020-07-22,29,34,63
2020-07-23,39,20,59
2020-07-24,28,13,41
2020-07-25,27,86,113
2020-07-26,12,46,58
2020-07-27,9,16,25
2020-07-28,5,23,28
2020-07-29,14,34,48
2020-07-30,7,11,18
2020-07-31,14,22,36
2020-08-01,8,23,31
2020-08-02,8,22,30
2020-08-03,3,20,23
2020-08-04,13,21,34
2020-08-05,13,20,33
2020-08-06,23,20,43
2020-08-07,9,11,20
2020-08-08,30,13,43
2020-08-09,30,6,36
2020-08-10,17,11,28
2020-08-11,23,11,34
2020-08-12,35,19,54
2020-08-13,47,9,56
2020-08-14,85,18,103
2020-08-15,154,12,166
2020-08-16,267,12,279
2020-08-17,188,9,197
2020-08-18,235,11,246
2020-08-19,283,14,297
2020-08-20,276,12,288
2020-08-21,315,9,324
2020-08-22,315,17,332
2020-08-23,386,10,396
2020-08-24,258,8,266
